Obs,end_station_name,end_station_latitude,end_station_longitude,trip,tripmin,tripcost
69,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,"1,292","21,822.38","$5,455.60 "
70,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,"1,810","30,495.22","$7,623.80 "
71,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,"1,483","20,748.67","$5,187.17 "
72,Cambridge St at Joy St,42.36121165,-71.0653062,"2,417","42,465.33","$10,616.33 "
73,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,"1,950","34,510.28","$8,627.57 "
74,Central Ave at River St,42.27094707,-71.07337901,30,"32,421.62","$8,105.40 "
75,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleas,42.366426,-71.105495,"3,106","44,474.43","$11,118.61 "
76,Central Square East Boston,42.37544913,-71.03918549,168,"2,827.43",$706.86 
77,Central Square at Mass Ave / Essex St,42.36507,-71.1031,"7,237","91,157.17","$22,789.29 "
78,Centre St at Parkway YMCA,42.28277901,-71.15728851,41,"1,615.95",$403.99 
79,Centre St at Seaverns Ave,42.3121203,-71.1142981,576,"15,302.87","$3,825.72 "
80,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,37,"1,161.13",$290.28 
81,Charles Circle - Charles St at Cambridge St,42.360185,-71.07086598,"3,182","69,430.23","$17,357.56 "
82,Charles St at Pinckney St,42.35872531,-71.07079532,996,"18,716.28","$4,679.07 "
83,Charlestown Navy Yard,42.37412455,-71.054812,"1,301","26,721.37","$6,680.34 "
84,Chelsea St at Saratoga St,42.379772,-71.027448,51,"3,077.97",$769.49 
85,Chelsea St at Vine St,42.40328057,-71.0476264,40,"1,826.48",$456.62 
86,Child St at North St,42.37150494,-71.07249312,854,"13,961.73","$3,490.43 "
87,Chinatown Gate Plaza,42.351356,-71.059367,"1,511","23,025.72","$5,756.43 "
88,Chinatown T Stop,42.352409,-71.062679,"2,260","64,207.65","$16,051.91 "
89,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366583,-71.08582377,"3,077","56,080.95","$14,020.24 "
90,Clarendon Hill at Broadway,42.406302,-71.132446,233,"7,936.88","$1,984.22 "
91,Clarendon St at Newbury St,42.35155309,-71.07569031,"1,517","28,379.08","$7,094.77 "
92,Cleveland Circle,42.33554308,-71.1506152,421,"26,677.57","$6,669.39 "
93,Codman Square Library,42.2873611,-71.071111,91,"2,034.88",$508.72 
94,Colleges of the Fenway - Fenway at Avenue Louis Pasteur,42.34011512,-71.10061884,"1,485","28,432.80","$7,108.20 "
95,Columbia Rd at Ceylon St,42.309572,-71.0729,79,"40,817.68","$10,204.42 "
96,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,574,"13,310.68","$3,327.67 "
97,Columbus Ave at Massachusetts Ave,42.34054262,-71.08138848,"1,492","42,212.00","$10,553.00 "
98,Columbus Ave at W. Canton St,42.34474225,-71.07648162,"1,030","19,113.15","$4,778.29 "
99,Commonwealth Ave At Babcock St,42.35154735,-71.12126246,"1,397","22,050.07","$5,512.52 "
100,Commonwealth Ave at Agganis Way,42.35169202,-71.11903489,"3,662","51,207.05","$12,801.76 "
101,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,325,"8,916.98","$2,229.25 "
102,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,824,"16,998.25","$4,249.56 "
103,Community Path at Cedar Street,42.39407224,-71.11133695,846,"12,102.90","$3,025.73 "
104,Congress St at North St,42.36041775,-71.05752244,991,"32,907.37","$8,226.84 "
105,Congress St at Northern Ave,42.3481,-71.03764,905,"17,730.73","$4,432.68 "
106,Congress St at Sleeper St,42.3510045,-71.04930013,"1,369","20,694.93","$5,173.73 "
107,Conway Park - Somerville Avenue,42.383405,-71.107593,"1,193","20,131.87","$5,032.97 "
108,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,"1,941","46,160.58","$11,540.15 "
109,Copley Square - Dartmouth St at Boylston St,42.34992828,-71.07739207,"2,654","130,126.68","$32,531.67 "
110,Craigie at Summer St,42.38828873,-71.1107146,153,"5,051.25","$1,262.81 "
111,Cross St at Hanover St,42.362811,-71.056067,"2,150","43,835.85","$10,958.96 "
112,Cummins at American Legion,42.27881158,-71.11687703,46,"1,996.77",$499.19 
113,Curtis Hall - South St at Centre St,42.309054,-71.11543,429,"16,945.85","$4,236.46 "
114,Cypress St at Clark Playground,42.32784318,-71.12536222,138,"2,829.00",$707.25 
115,Dana Park,42.36178044,-71.10809952,"1,402","23,107.45","$5,776.86 "
116,Danehy Park,42.388966,-71.132788,403,"7,279.25","$1,819.81 "
117,Dartmouth St at Newbury St,42.35096144,-71.07782811,"1,829","37,111.77","$9,277.94 "
118,Davis Square,42.396969,-71.123024,"2,067","36,042.78","$9,010.70 "
119,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,"2,937","43,760.58","$10,940.15 "
120,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,173,"1,478.13",$369.53 
121,Dorchester Ave at Gillette Park,42.34404051,-71.05737627,209,"3,414.32",$853.58 
122,Dorchester Ave at King St,42.29175622,-71.0625918,113,"2,544.75",$636.19 
123,Dudley Square - Dudley St at Warren St,42.32984299,-71.08386572,409,"21,544.37","$5,386.09 "
124,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,188,"5,479.20","$1,369.80 "
125,E Cottage St at Columbia Rd,42.320561,-71.06198,464,"10,147.32","$2,536.83 "
126,EF - North Point Park,42.369885,-71.069957,"1,338","25,424.57","$6,356.14 "
127,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431,174,"3,466.28",$866.57 
128,East Somerville Library (Broadway and Illinois),42.38762811,-71.08318716,391,"6,113.68","$1,528.42 "
129,Edgerly Education Center,42.38717463,-71.08714389,424,"12,729.38","$3,182.35 "
130,Edwards Playground - Main St at Eden St,42.378965,-71.068607,519,"8,509.90","$2,127.48 "
131,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,201,"5,693.37","$1,423.34 "
132,Elm St at White St,42.38952436,-71.1169414,855,"13,097.42","$3,274.35 "
133,Encore,42.39329263,-71.0724476,99,"3,972.73",$993.18 
134,Everett Square (Broadway at Chelsea St),42.40725945,-71.05546381,131,"21,604.57","$5,401.14 "
135,Fan Pier,42.35339051,-71.0445714,727,"13,547.23","$3,386.81 "
136,Faneuil St at Arlington St,42.35276621,-71.15988486,258,"6,672.77","$1,668.19 "
137,Farragut Rd at E. 6th St,42.3334,-71.02495,721,"23,153.85","$5,788.46 "
138,Ferry St at Pleasantview Ave,42.40914878,-71.04597684,44,"3,688.25",$922.06 
139,Fields Corner T Stop,42.2996667,-71.0605833,195,"29,650.30","$7,412.58 "
140,Forest Hills,42.300923,-71.114249,914,"24,733.38","$6,183.35 "
141,Foss Park,42.39108438,-71.09039426,398,"10,878.00","$2,719.50 "
142,Four Corners - 157 Washington St,42.30412793,-71.07929528,44,"1,317.55",$329.39 
143,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225,66,"4,223.62","$1,055.90 "
144,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,77,"3,803.22",$950.80 
145,Fresh Pond Reservation,42.38267828,-71.14347895,273,"7,891.02","$1,972.75 "
146,Gallivan Blvd at Adams St,42.28297568,-71.05466698,86,"5,977.88","$1,494.47 "
147,Glendale Square (Ferry St at Broadway),42.41480161,-71.0477256,57,"13,758.83","$3,439.71 "
148,Glendon St at Condor St,42.38240378,-71.03024304,57,"3,319.57",$829.89 
149,Government Center - Cambridge St at Court St,42.35980252,-71.05960783,"1,515","47,616.15","$11,904.04 "
150,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,772,"20,649.80","$5,162.45 "
151,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,60,"1,697.52",$424.38 
152,Grove St at Community Path,42.39638681,-71.12011306,"1,518","17,805.80","$4,451.45 "
153,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741749,-71.10286117,"1,849","28,501.47","$7,125.37 "
154,Harrison Ave at Bennet St,42.3494261,-71.0620996,728,"18,870.90","$4,717.72 "
155,Harrison Ave at Mullins Way,42.34521562,-71.06384031,"1,245","18,502.75","$4,625.69 "
156,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,"1,248","25,116.08","$6,279.02 "
157,Harvard Kennedy School at Bennett St / Eliot St,42.3722168,-71.12188071,"2,314","51,708.82","$12,927.20 "
158,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,"1,641","25,862.05","$6,465.51 "
159,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,"2,106","40,884.38","$10,221.10 "
160,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,"4,879","104,348.13","$26,087.03 "
161,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,"1,895","32,831.58","$8,207.90 "
162,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,"1,762","24,605.92","$6,151.48 "
163,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,"1,701","29,687.08","$7,421.77 "
164,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,"1,573","25,648.52","$6,412.13 "
165,Harvard University Radcliffe Quadrangle at Shepard St / Garden S,42.380287,-71.125107,"1,177","17,281.23","$4,320.31 "
166,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,"2,340","60,287.65","$15,071.91 "
167,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,340,"6,107.10","$1,526.78 "
168,High St at Cypress St,42.32538436,-71.12177596,211,"4,510.30","$1,127.57 "
169,Honan Library,42.36027371,-71.12852452,681,"13,674.62","$3,418.65 "
170,Huntington Ave at Mass Art,42.33658556,-71.09886996,"1,178","34,107.97","$8,526.99 "
171,Huron Ave At Vassal Lane,42.38165061,-71.13426981,491,"8,960.80","$2,240.20 "
172,Hyde Square - Barbara St at Centre St,42.32176526,-71.10984161,725,"18,234.62","$4,558.65 "
173,ID Building East,42.344827,-71.028664,389,"6,142.70","$1,535.68 "
174,ID Building West,42.344796,-71.031614,961,"14,081.37","$3,520.34 "
175,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,885,"9,876.83","$2,469.21 "
176,Inman Square at Springfield St.,42.37438409,-71.10015746,"1,509","22,433.30","$5,608.33 "
177,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,638,"10,479.75","$2,619.94 "
178,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,619,"11,877.60","$2,969.40 "
179,JFK/UMass T Stop,42.32033974,-71.05118036,516,"14,019.75","$3,504.94 "
180,Jackson Square T Stop,42.32293117,-71.10014141,933,"92,768.50","$23,192.12 "
181,Jamaica St at South St,42.30604563,-71.11570891,176,"7,690.27","$1,922.57 "
182,Kendall Street,42.36356016,-71.08216792,"1,389","20,608.58","$5,152.15 "
183,Kendall T,42.36242784,-71.08495474,"4,819","56,762.12","$14,190.53 "
184,Kenmore Square,42.348706,-71.097009,"2,298","49,757.45","$12,439.36 "
185,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,"1,301","31,772.17","$7,943.04 "
186,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,"1,750","24,443.22","$6,110.80 "
187,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,"2,495","39,503.03","$9,875.76 "
188,Lesley University,42.38674802,-71.11901879,843,"16,004.73","$4,001.18 "
189,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,"2,235","49,099.33","$12,274.83 "
190,Linear Park - Mass. Ave. at Cameron Ave.,42.397828,-71.130516,986,"15,936.23","$3,984.06 "
191,Longwood Ave at Binney St,42.338629,-71.1065,"2,397","57,224.58","$14,306.15 "
192,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,"2,711","41,316.92","$10,329.23 "
193,MIT Pacific St at Purrington St,42.3595732,-71.10129476,"4,694","42,417.72","$10,604.43 "
194,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,"4,255","44,763.48","$11,190.87 "
195,MIT Vassar St,42.35560121,-71.10394478,"4,310","50,910.00","$12,727.50 "
196,MIT at Mass Ave / Amherst St,42.3581,-71.093198,"8,338","130,850.28","$32,712.57 "
197,MLK Blvd at Washington St,42.32143814,-71.09126061,276,"5,270.00","$1,317.50 "
198,Magoun Square at Trum Field,42.398365,-71.107818,526,"9,279.63","$2,319.91 "
199,Main St at Austin St,42.375603,-71.064608,875,"17,471.98","$4,368.00 "
200,Main St at Baldwin St,42.380857,-71.070629,588,"10,861.90","$2,715.48 "
201,Main St at Beacon St,42.41072714,-71.06266823,110,"4,875.68","$1,218.92 "
202,Main St at Thompson Sq,42.37487847,-71.06383499,669,"13,283.18","$3,320.80 "
203,Main Street at Carter Street,42.40413,-71.0613,120,"2,736.17",$684.04 
204,Marion St at Harvard St,42.33978053,-71.1213335,815,"17,077.75","$4,269.44 "
205,Mass Ave T Station,42.34135616,-71.08336953,"1,071","25,350.35","$6,337.59 "
206,Mass Ave at Albany St,42.36135838,-71.09670274,"2,822","35,833.30","$8,958.33 "
207,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,555,"9,169.33","$2,292.33 "
208,Mattapan Library,42.2773889,-71.09325,32,"7,573.82","$1,893.45 "
209,Mattapan T Stop,42.267902,-71.093641,92,"14,626.00","$3,656.50 "
210,Maverick Square - Lewis Mall,42.36884408,-71.03977829,433,"8,079.25","$2,019.81 "
211,Maverick St at Massport Path,42.36774122,-71.03335975,51,"1,035.45",$258.86 
212,Medford St at Charlestown BCYF,42.38042947,-71.06055722,446,"22,921.90","$5,730.47 "
213,Mobile Temporary Station,42.35967536,-71.10160055,7,108.07,$27.02 
214,Morton St T,42.28072514,-71.08617242,30,857.8,$214.45 
215,Mt Auburn,42.37478629,-71.13320231,571,"11,454.98","$2,863.75 "
216,Mt. Hope St at Hyde Park Ave,42.28484472,-71.11874517,58,"11,540.77","$2,885.19 "
217,Mugar Way at Beacon St,42.35553629,-71.0728687,"2,610","77,629.05","$19,407.26 "
218,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,749,"28,785.52","$7,196.38 "
219,Museum of Science,42.36769018,-71.07116282,469,"11,134.43","$2,783.61 "
220,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,77,"2,285.70",$571.43 
221,Nashua Street at Red Auerbach Way,42.365673,-71.064263,"5,572","96,981.98","$24,245.50 "
222,New Balance - 20 Guest St,42.35732922,-71.1467354,488,"17,212.02","$4,303.00 "
223,Newbury St at Hereford St,42.348717,-71.085954,"3,346","57,757.28","$14,439.32 "
224,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,602,"12,747.63","$3,186.91 "
225,Norman St at Kelvin St,42.40581172,-71.06708851,74,"2,000.25",$500.06 
226,Northbourne Rd at Hyde Park Ave,42.29118035,-71.11773666,70,"1,920.75",$480.19 
227,Northeastern University - North Parking Lot,42.341814,-71.090179,"2,188","43,854.68","$10,963.67 "
228,Oak Square - 615 Washington St,42.35057,-71.166491,295,"11,261.32","$2,815.33 "
229,One Brigham Circle,42.3339227,-71.10446509,977,"17,345.35","$4,336.34 "
230,One Broadway / Kendall Sq at Main St / 3rd St,42.36224179,-71.08311072,749,"11,321.95","$2,830.49 "
231,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,"2,823","44,471.35","$11,117.84 "
232,One Memorial Drive,42.36161932,-71.08043551,940,"14,401.90","$3,600.48 "
233,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,118,"6,379.80","$1,594.95 "
234,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,452,"9,307.95","$2,326.99 "
235,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,"2,544","43,551.97","$10,887.99 "
236,Park Dr at Buswell St,42.347241,-71.105301,"1,594","24,468.05","$6,117.01 "
237,Park Plaza at Charles St S.,42.35182807,-71.06781138,"1,241","25,800.82","$6,450.20 "
238,Park St at Norwell St,42.2944167,-71.0783056,36,"39,615.77","$9,903.94 "
239,Perry Park,42.37927325,-71.10341903,650,"10,087.65","$2,521.91 "
240,Piers Park,42.36489293,-71.03497177,339,"7,424.32","$1,856.08 "
241,Porter Square Station,42.387995,-71.119084,"1,864","32,646.53","$8,161.63 "
242,Post Office Square,42.35585436,-71.05459746,"1,400","20,533.25","$5,133.31 "
243,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,440,"10,433.02","$2,608.25 "
244,Prudential Center - Belvedere St,42.34652004,-71.08065777,"1,749","60,122.75","$15,030.69 "
245,Purchase St at Pearl St,42.354659,-71.053181,"1,101","15,496.37","$3,874.09 "
246,Rindge Avenue - O'Neill Library,42.392766,-71.129042,356,"6,947.18","$1,736.80 "
247,Ring Rd,42.34827839,-71.08044855,978,"25,668.88","$6,417.22 "
248,Rogers St & Land Blvd,42.36575798,-71.07699394,929,"20,278.70","$5,069.68 "
249,Roslindale Village - South St,42.287072,-71.127754,170,"4,975.33","$1,243.83 "
250,Roslindale Village - Washington St,42.28630716,-71.12820532,105,"24,993.37","$6,248.34 "
251,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,"1,695","29,099.42","$7,274.85 "
252,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,"1,695","43,286.97","$10,821.74 "
253,Roxbury YMCA - Warren St at MLK Blvd,42.31787329,-71.08243078,189,"4,120.15","$1,030.04 "
254,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624445,-71.08798563,"3,253","95,456.93","$23,864.23 "
255,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,418,"11,322.65","$2,830.66 "
256,S Huntington Ave at Heath St,42.32760387,-71.1108917,424,"7,992.42","$1,998.10 "
257,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,174,"4,073.22","$1,018.30 "
258,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,"2,484","44,848.52","$11,212.13 "
259,Seaport Hotel - Congress St at Seaport Ln,42.34881026,-71.04167744,814,"18,637.10","$4,659.28 "
260,Seaport Square - Seaport Blvd at Northern Ave,42.35148194,-71.04436085,"2,544","40,290.33","$10,072.58 "
261,Sennott Park Broadway at Norfolk Street,42.36860524,-71.09930186,"1,716","26,261.15","$6,565.29 "
262,Shawmut Ave at Oak St W,42.34854543,-71.06559185,384,"23,967.08","$5,991.77 "
263,Shawmut T Stop,42.292917,-71.06575,75,"62,761.63","$15,690.41 "
264,Sidney Research Campus/ Erie Street at Waverly,42.3577531,-71.10393405,"1,545","19,099.07","$4,774.77 "
265,Silber Way,42.349496,-71.10057592,"3,036","76,834.72","$19,208.68 "
266,Soldiers Field Park - 111 Western Ave,42.36426344,-71.1182757,"1,163","22,984.20","$5,746.05 "
267,Somerville City Hall,42.386844,-71.09812,606,"12,588.57","$3,147.14 "
268,Somerville City Hall Annex,42.39189812,-71.09745376,199,"6,035.87","$1,508.97 "
269,Somerville Hospital,42.39088802,-71.1096257,449,"8,584.28","$2,146.07 "
270,South Boston Library - 646 E Broadway,42.335741,-71.03877,"1,231","25,975.95","$6,493.99 "
271,South End Library - Tremont St at W Newton St,42.341332,-71.076847,"1,110","15,503.25","$3,875.81 "
272,South Station - 700 Atlantic Ave,42.352175,-71.055547,"4,789","111,624.40","$27,906.10 "
273,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,"1,079","19,580.45","$4,895.11 "
274,Spring St at Powell St,42.27748444,-71.16341468,9,173.62,$43.40 
275,St Mary's,42.34619708,-71.10728681,"1,729","28,372.58","$7,093.15 "
276,State Street at Channel Center,42.344137,-71.052608,"1,097","12,956.00","$3,239.00 "
277,Stony Brook T Stop,42.316966,-71.104374,774,"24,572.37","$6,143.09 "
278,Stuart St at Berkeley St,42.34954403,-71.07242074,988,"27,536.95","$6,884.24 "
279,Stuart St at Charles St,42.351146,-71.066289,988,"25,047.08","$6,261.77 "
280,Surface Rd at India St,42.358155,-71.052163,"1,479","26,910.40","$6,727.60 "
281,Surface Rd at Summer St,42.3529457,-71.05656401,"1,096","32,638.92","$8,159.73 "
282,Sydney St at Carson St,42.32039374,-71.05355408,196,"4,735.37","$1,183.84 "
283,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,76,"16,454.67","$4,113.67 "
284,Tappan St at Brookline Hills MBTA,42.33209606,-71.12845883,216,"9,665.32","$2,416.33 "
285,Teele Square,42.40203828,-71.12653291,411,"7,824.23","$1,956.06 "
286,The Dimock Center,42.31930943,-71.09639924,92,"1,637.32",$409.33 
287,The Eddy - New St at Sumner St,42.370744,-71.044201,69,"2,033.53",$508.38 
288,The Lawn on D,42.344792,-71.044024,817,"17,051.25","$4,262.81 "
289,Thetford Ave at Norfolk St,42.28621295,-71.07942931,26,734.83,$183.71 
290,Third at Binney,42.36544486,-71.08277142,"1,564","20,158.05","$5,039.51 "
291,Tremont St at E Berkeley St,42.345392,-71.069616,"1,379","33,782.82","$8,445.70 "
292,Tremont St at Hamilton Pl,42.35668335,-71.06166646,"1,953","47,113.37","$11,778.34 "
293,Tremont St at Northampton St,42.3388956,-71.08149976,"1,128","15,912.42","$3,978.10 "
